FID,SHAPE,BEZIRK,KREUZUNG,ANL_TYPE,ANL_NR,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.293179,POINT (16.381468343006045 48.235243166466404),20,Dresdner Str.-Donaueschingenstr.,Verkehrslichtsignalanlage,V20031-01,293179,
AKUSTISCHEAMPELOGD.293180,POINT (16.370197448041043 48.2174487767858),1,Franz Josefs-Kai-Schottenring,Verkehrslichtsignalanlage,V01048-01,293180,
AKUSTISCHEAMPELOGD.293182,POINT (16.29813736180722 48.13731773729862),23,Brunner Str.-Perfektastr.,Verkehrslichtsignalanlage,V23024-01,293182,
AKUSTISCHEAMPELOGD.293185,POINT (16.323921430031792 48.206845265952566),16,Herbststr.-Panikeng.,Verkehrslichtsignalanlage,V16038-01,293185,
AKUSTISCHEAMPELOGD.293186,POINT (16.402446817981282 48.197445770574404),3,Erdbergstr.-Droryg.,Verkehrslichtsignalanlage,V03048-01,293186,
AKUSTISCHEAMPELOGD.293187,POINT (16.39327048563122 48.26584106980942),21,Prager Str.-Koloniestr._O`Brien G.,Verkehrslichtsignalanlage,V21012-01,293187,
AKUSTISCHEAMPELOGD.293188,POINT (16.367658458461708 48.19824019773009),4,Wiedner Hauptstr.-Schaurhoferg._Paniglg.,Verkehrslichtsignalanlage,V04007-01,293188,
AKUSTISCHEAMPELOGD.293189,POINT (16.383134494529276 48.287414471374404),21,Prager Str.-Ru¿¿bergstr.,Verkehrslichtsignalanlage,V21013-01,293189,
AKUSTISCHEAMPELOGD.293194,POINT (16.33215788247789 48.206857716721665),16,Koppstr.-Kirchstetterng.,Verkehrslichtsignalanlage,V16008-01,293194,
AKUSTISCHEAMPELOGD.293196,POINT (16.361201022163446 48.14799240217627),23,Laxenburger Str.-Ober Laaer Str.,Verkehrslichtsignalanlage,V23001-01,293196,
AKUSTISCHEAMPELOGD.293197,POINT (16.330263087560407 48.17437177684748),12,Eichenstr.-Meidlinger Hptstr.,Verkehrslichtsignalanlage,V12020-01,293197,
AKUSTISCHEAMPELOGD.293198,POINT (16.27299237900255 48.17759153414587),13,Wolkersbergenstr.-Jagdschloßg.,Verkehrslichtsignalanlage,V13035-01,293198,
AKUSTISCHEAMPELOGD.293200,POINT (16.3554633419122 48.17581758872134),10,Triester Str.-Davidg. _Kundratstr.,Verkehrslichtsignalanlage,V10002-01,293200,
AKUSTISCHEAMPELOGD.293201,POINT (16.349928250809757 48.22919319980061),18,Währinger Gürtel-Sternwartestr.,Verkehrslichtsignalanlage,V18005-01,293201,
AKUSTISCHEAMPELOGD.293202,POINT (16.397039616004612 48.217937568477254),2,Ausstellungsstr.-Venediger Au,Verkehrslichtsignalanlage,V02035-01,293202,
AKUSTISCHEAMPELOGD.293203,POINT (16.34457251242252 48.24456080541834),19,Billrothstr.-Hohenauerg.,geregelter Fußgängerübergang,V19036-01,293203,
AKUSTISCHEAMPELOGD.293204,POINT (16.3549578248667 48.192850902241766),5,Rechte Wienzeile-Pilgrambr¿¿cke,Verkehrslichtsignalanlage,V05001-01,293204,
AKUSTISCHEAMPELOGD.293207,POINT (16.30324219891988 48.18757319852267),13,Hietzinger Hptstr.-Kennedybr._Ed.Klein G.,Verkehrslichtsignalanlage,V13031-01,293207,
AKUSTISCHEAMPELOGD.293208,POINT (16.41172214215875 48.188869034716596),3,Baumg.-Litfaßstr.,Verkehrslichtsignalanlage,V03094-01,293208,
AKUSTISCHEAMPELOGD.293210,POINT (16.359554201673237 48.18014295839265),10,Triester Str.-Gudrunstr.,Verkehrslichtsignalanlage,V10009-01,293210,
AKUSTISCHEAMPELOGD.293211,POINT (16.326971270321806 48.183064632731565),12,Schönbrunner Str.-Ruckerg.,Verkehrslichtsignalanlage,V12034-01,293211,
AKUSTISCHEAMPELOGD.293212,POINT (16.361348853402962 48.20257361495768),7,Mariahilfer Str.-Getreidem._Babenberger,Verkehrslichtsignalanlage,V06006-01,293212,
AKUSTISCHEAMPELOGD.293213,POINT (16.415999242658287 48.289322843465264),21,Brünner Str.-Anton Schall-G.,Verkehrslichtsignalanlage,V21037-01,293213,
AKUSTISCHEAMPELOGD.293214,POINT (16.35314191642476 48.19538673993769),6,Magdalenenstr.-Kaunitzg.Corneliusg.,Verkehrslichtsignalanlage,V06031-01,293214,
AKUSTISCHEAMPELOGD.293215,POINT (16.349508595166327 48.21327816412193),8,Laudong.-Kochg.,Verkehrslichtsignalanlage,V08013-01,293215,
AKUSTISCHEAMPELOGD.293216,POINT (16.378554628650658 48.24244673001898),20,Marchfeldstr.-Leystr.,Verkehrslichtsignalanlage,V20007-01,293216,
AKUSTISCHEAMPELOGD.293217,POINT (16.380851501552005 48.2189820110483),2,Taborstr.-Obere Augartenstr.,Verkehrslichtsignalanlage,V02027-01,293217,
AKUSTISCHEAMPELOGD.293218,POINT (16.38147401509923 48.16636175393953),10,Favoritenstr.-Schleierg.,Verkehrslichtsignalanlage,V10077-01,293218,
AKUSTISCHEAMPELOGD.293219,POINT (16.35408926690232 48.19767033879981),6,Gumpendorfer Str.-Kaunitzg.,Verkehrslichtsignalanlage,V06019-01,293219,
