FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,BETREIBER,SE_ANNO_CAD_DATA
AUFZUGOGD.1670,1670,POINT (16.439667368323175 48.211375742357866),DONAUSTADTBRÜCKE,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Neue Donau auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DT A02,,Wiener Linien,
AUFZUGOGD.1671,1671,POINT (16.43949913957321 48.211514695030296),DONAUSTADTBRÜCKE,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Neue Donau auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DT A01,,Wiener Linien,
AUFZUGOGD.1672,1672,POINT (16.44079119755484 48.212270826790984),DONAUSTADTBRÜCKE,U2,Aufzug fährt vom Effenbergplatz zur Passage zur Parkgarage,DT A05,,Wiener Linien,
AUFZUGOGD.1673,1673,POINT (16.45036579455514 48.22014182268999),STADLAU,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Konstanziagasse auf den U2-Mittelbahnsteig,SD A04,,Wiener Linien,
AUFZUGOGD.1674,1674,POINT (16.448554999319825 48.219342684579345),STADLAU,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Kaisermühlenstraße auf den ÖBB-Mittelbahnsteig und auf den U2-Mittelbahnsteig,SD A01,,Wiener Linien,
AUFZUGOGD.1675,1675,POINT (16.467634818657537 48.2192653379189),DONAUSPITAL,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Kapellenweg auf den Mittelbahnsteig,DP A02,,Wiener Linien,
AUFZUGOGD.1676,1676,POINT (16.465361391920037 48.21959818306165),DONAUSPITAL,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Zschokkegasse auf den Mittelbahnsteig,DP A01,,Wiener Linien,
AUFZUGOGD.1677,1677,POINT (16.474445913719638 48.22197198099604),ASPERNSTRASSE,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Erzherzog-Karl Straße auf den Mittelbahnsteig,AP A02,,Wiener Linien,
AUFZUGOGD.1678,1678,POINT (16.474821837388 48.22246470895894),ASPERNSTRASSE,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Aspernstraße auf den Mittelbahnsteig,AP A01,,Wiener Linien,
AUFZUGOGD.1679,1679,POINT (16.3822553787953 48.21946107382172),TABORSTRASSE,U2,Aufzug fährt vom U2-Bahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Novaragasse,TB A02,,Wiener Linien,
AUFZUGOGD.1680,1680,POINT (16.38047359540028 48.21911675419233),TABORSTRASSE,U2,Aufzug fährt vom U2-Bahnsteig in das Zwischengeschoß und in das stadteinwärtige Aufnahmegebäude Ausgang Taborstraße/Obere Augartenstraße,TB A01,,Wiener Linien,
AUFZUGOGD.1681,1681,POINT (16.40603078385279 48.2177945663102),MESSE PRATER,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Messe auf den U2-Mittelbahnsteig,MS A02,,Wiener Linien,
AUFZUGOGD.1682,1682,POINT (16.403806657191147 48.2177855862784),MESSE PRATER,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Prater auf den U2-Mittelbahnsteig,MS A01,,Wiener Linien,
AUFZUGOGD.1683,1683,POINT (16.41297917997415 48.215095006128166),KRIEAU,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Sturgasse auf den U2-Mittelbahnsteig,KI A01,,Wiener Linien,
AUFZUGOGD.1684,1684,POINT (16.414614425979533 48.21424205740023),KRIEAU,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Krieau auf den U2-Mittelbahnsteig,KI A02,,Wiener Linien,
AUFZUGOGD.1685,1685,POINT (16.371221911059802 48.21720528609735),SCHOTTENRING,U2,Aufzug fährt vom U2-Bahnsteig auf den U4-Mittelbahnsteig und in das Aufnahmegebäude Ausgang Schottenring,SR A01,,Wiener Linien,
AUFZUGOGD.1686,1686,POINT (16.373267353464776 48.21764658682395),SCHOTTENRING,U2,Aufzug fährt vom U2-Bahnsteig in das Zwischengeschoß Ausgang Donaukai und in das stadtauswärtige Aufnahmegebäude Ausgang Herminengasse,SR A04,,Wiener Linien,
AUFZUGOGD.1687,1687,POINT (16.419483394962935 48.21131126943514),STADION,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Stella-Klein-Löw-Weg auf den U2-Bahnsteig (Fahrtrichtung 1 nach Karlsplatz),SW A01,,Wiener Linien,
AUFZUGOGD.1688,1688,POINT (16.419333728468956 48.21122175145432),STADION,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Stella-Klein-Löw-Weg auf den U2-Bahnsteig (Fahrtrichtung 2 nach Aspernstraße),SW A02,,Wiener Linien,
AUFZUGOGD.1689,1689,POINT (16.420965016401723 48.21026639792707),STADION,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Stadion auf den U2-Bahnsteig (Fahrtrichtung 1 nach Karlsplatz),SW A03,,Wiener Linien,
